fold_index,feature,train_mean,evaluation_mean,train_std,standardized_mean_shift,evaluation_feature_missing_rate
1,short_term_overreaction_raw,0.17444557555409543,0.2990686150060036,0.06684316570829685,1.86440959417994,0.0
1,atr_adjusted_oversold_distance_raw,0.19345498144990825,0.3221899553290626,0.06677607383418216,1.9278607813754975,0.0
1,rsi_price_divergence_raw,0.21388487027545736,0.34329786082207797,0.06944410316736212,1.8635562221133724,0.0
1,realized_vol_percentile_raw,0.23534000422706672,0.36137372828413916,0.07212701107290108,1.7473859263305134,0.0
1,donchian_breakout_distance_raw,0.2564825398603208,0.37818659629703544,0.07230301982507653,1.6832499767112707,0.0
1,bollinger_width_squeeze_raw,0.27626203518307885,0.3966666993114976,0.07010855792058891,1.717403234349787,0.0
1,cmf_confirmation_raw,0.2948812211786876,0.41821142360666524,0.06738326466355339,1.8302794179499755,0.0
1,efficiency_ratio_trend_raw,0.31360961187483444,0.4414005567894222,0.0664673830753321,1.9226113471287622,0.0
2,short_term_overreaction_raw,0.19937018344447704,0.3521899553290628,0.07972965103314643,1.9167244545075603,0.0
2,atr_adjusted_oversold_distance_raw,0.2192019762257391,0.3732978608220779,0.08153202550383665,1.8900043712159158,0.0
2,rsi_price_divergence_raw,0.2397674683847815,0.3913737282841392,0.08378706042790776,1.8094233062371614,0.0
2,realized_vol_percentile_raw,0.26054674903848124,0.40818659629703546,0.08422984262561656,1.7528211220194418,0.0
2,donchian_breakout_distance_raw,0.28082335114766377,0.42666669931149775,0.08257203155526162,1.7662560241869285,0.0
2,bollinger_width_squeeze_raw,0.3003429680087626,0.44821142360666527,0.08043327640563466,1.838399008541991,0.0
2,cmf_confirmation_raw,0.31954726166428316,0.4714005567894222,0.07957993707428118,1.9081856647284954,0.0
2,efficiency_ratio_trend_raw,0.339167800857752,0.493302024518983,0.08086846484554608,1.9059867645023076,0.0
3,short_term_overreaction_raw,0.2248401454252413,0.403297860822078,0.09432981159704973,1.891848529912872,0.0
3,atr_adjusted_oversold_distance_raw,0.24488462365846222,0.4213737282841392,0.09612366445322296,1.8360630093494053,0.0
3,rsi_price_divergence_raw,0.26503517836800783,0.4381865962970355,0.09679151294433998,1.7889111623722473,0.0
3,realized_vol_percentile_raw,0.28515339024824027,0.45666669931149767,0.09571505374674018,1.7919157159654078,0.0
3,donchian_breakout_distance_raw,0.3051305758416361,0.47821142360666524,0.09390139404566836,1.8432191505149789,0.0
3,bollinger_width_squeeze_raw,0.32498771060841297,0.5014005567894221,0.09300806715274304,1.896747793837002,0.0
3,cmf_confirmation_raw,0.34485614418513966,0.5233020245189829,0.09384693962021574,1.9014565744603553,0.0
3,efficiency_ratio_trend_raw,0.3648568381346238,0.5421676261338572,0.095664901798419,1.8534570638336632,0.0
4,short_term_overreaction_raw,0.2503341047676465,0.4513737282841392,0.10895575019159899,1.845149275398168,0.0
4,atr_adjusted_oversold_distance_raw,0.2700973528907018,0.46818659629703535,0.10960558810727022,1.8072914604724806,0.0
4,rsi_price_divergence_raw,0.28977109521501176,0.48666669931149764,0.10904797745770876,1.8055869415170618,0.0
4,realized_vol_percentile_raw,0.3096552915429913,0.5082114236066652,0.10775072805566327,1.842735874240229,0.0
4,donchian_breakout_distance_raw,0.3298564112366403,0.5314005567894222,0.10684888231625654,1.8862541299799631,0.0
4,bollinger_width_squeeze_raw,0.3501895457771286,0.5533020245189829,0.10726538428365137,1.8935510285848227,0.0
4,cmf_confirmation_raw,0.3703484128042601,0.5721676261338571,0.10859605941746561,1.858439564126009,0.0
4,efficiency_ratio_trend_raw,0.39018695070594284,0.5890403222777832,0.10954205627799085,1.8153153074577983,0.0
5,short_term_overreaction_raw,0.2754640577072081,0.4981865962970355,0.12268904382782057,1.8153417097486868,0.0
5,atr_adjusted_oversold_distance_raw,0.2948585083164935,0.5166666993114977,0.12235114313396767,1.8128820484507986,0.0
5,rsi_price_divergence_raw,0.31438304572707243,0.5382114236066653,0.12157868719402458,1.8410165716166222,0.0
5,realized_vol_percentile_raw,0.3344748080509506,0.5614005567894221,0.12098685341307377,1.875623196544345,0.0
5,donchian_breakout_distance_raw,0.35504942943073803,0.5833020245189829,0.12115165771953079,1.8840237053681557,0.0
5,bollinger_width_squeeze_raw,0.37557860561986045,0.6021676261338572,0.12199035889137332,1.8574338379950472,0.0
5,cmf_confirmation_raw,0.3955758144704597,0.6190403222777833,0.12264233061796749,1.8220830171877485,0.0
5,efficiency_ratio_trend_raw,0.4150436221524229,0.6367953416937348,0.12251436859122046,1.8100058147563507,0.0
